user_id,username,action,resource,resource_sensitivity,status,time_classification,timestamp,risk_score,severity,anomaly_reasons,is_anomaly,user_dept,user_role,privilege,hire_date,days_inactive,is_active
USR00054,edward.smith,sql_query,HRIS,high,success,business_hours,2025-05-14 04:36:00,50,MEDIUM,Sensitive resource (high)|Unapproved resource: HRIS,1,Support,Specialist,user,2023-07-28,12,True
USR00034,harsh.jones,admin_operation,HRIS,high,failure,unusual_hours,2025-05-14 08:19:00,100,CRITICAL,Off-hours access (unusual_hours)|Sensitive resource (high)|High-risk action: admin_operation|Unapproved resource: HRIS|Access attempt FAILED|Account inactive 43 days,1,Operations,Specialist,service-account,2024-10-23,43,True
USR00040,nicholas.romano,sql_query,HRIS,high,success,business_hours,2025-05-14 08:50:00,70,HIGH,Sensitive resource (high)|Unapproved resource: HRIS|Account inactive 52 days,1,Security,Officer,power-user,2023-12-02,52,True
USR00053,timothy.jo,export_data,PROD_DB,high,success,business_hours,2025-05-14 13:52:00,50,MEDIUM,Sensitive resource (high)|High-risk action: export_data,1,Engineering,Engineer,user,2025-09-20,11,True
USR00044,pooja.mishra,sql_query,Customer_Vault,high,success,business_hours,2025-05-14 20:19:00,70,HIGH,Sensitive resource (high)|Unapproved resource: Customer_Vault|Account inactive 59 days,1,Finance,Developer,admin,2023-11-18,59,True
USR00015,sophia.white,login,GL_System,high,success,unusual_hours,2025-05-15 09:48:00,67,HIGH,Off-hours access (unusual_hours)|Sensitive resource (high)|Unapproved resource: GL_System,1,Security,Developer,admin,2025-10-04,24,True
USR00088,william.jang,login,Admin_Console,medium,success,unusual_hours,2025-05-15 10:47:00,72,HIGH,Off-hours access (unusual_hours)|Sensitive resource (medium)|Unapproved resource: Admin_Console|Account inactive 36 days,1,Engineering,Engineer,admin,2024-10-14,36,True
USR00043,matthew.bernard,sql_query,Customer_Vault,high,success,business_hours,2025-05-15 13:21:00,70,HIGH,Sensitive resource (high)|Unapproved resource: Customer_Vault|Account inactive 33 days,1,Operations,Coordinator,power-user,2024-11-02,33,True
USR00034,harsh.jones,sql_query,SIEM,medium,success,business_hours,2025-05-16 03:23:00,55,MEDIUM,Sensitive resource (medium)|Unapproved resource: SIEM|Account inactive 43 days,1,Operations,Specialist,service-account,2024-10-23,43,True
USR00099,maria.bianchi,admin_operation,PROD_DB,high,success,business_hours,2025-05-17 01:07:00,85,CRITICAL,Sensitive resource (high)|High-risk action: admin_operation|Unapproved resource: PROD_DB|Account inactive 40 days,1,Marketing,Officer,service-account,2025-10-01,40,True
USR00048,xiulan.colombo,api_call,HRIS,high,success,business_hours,2025-05-17 16:14:00,73,HIGH,Sensitive resource (high)|Unapproved resource: HRIS|Account inactive 34 days,1,Compliance,Administrator,user,2023-10-28,34,True
USR00056,william.kumar,sql_query,Admin_Console,medium,success,unusual_hours,2025-05-17 22:08:00,75,HIGH,Off-hours access (unusual_hours)|Sensitive resource (medium)|Unapproved resource: Admin_Console|Account inactive 58 days,1,Compliance,Manager,user,2023-09-13,58,True
USR00007,robert.smith,api_call,Data_Lake,medium,success,business_hours,2025-05-18 15:43:00,58,MEDIUM,Sensitive resource (medium)|Unapproved resource: Data_Lake|Account inactive 44 days,1,Operations,Lead,user,2025-05-25,44,True
USR00001,daniel.singh,api_call,Admin_Console,medium,success,business_hours,2025-05-19 11:41:00,38,LOW,Sensitive resource (medium)|Unapproved resource: Admin_Console,0,Compliance,Lead,user,2024-04-04,20,True
USR00049,thomas.kang,sql_query,PROD_DB,high,success,business_hours,2025-05-21 12:46:00,50,MEDIUM,Sensitive resource (high)|Unapproved resource: PROD_DB,1,Engineering,Administrator,user,2022-08-24,24,True
USR00002,kenneth.moore,api_call,File_Share,low,success,business_hours,2025-05-21 22:50:00,28,LOW,Unapproved resource: File_Share,0,Sales,Architect,service-account,2025-12-07,13,True
USR00010,jacob.patel,export_data,HRIS,high,success,business_hours,2025-05-22 12:30:00,70,HIGH,Sensitive resource (high)|High-risk action: export_data|Unapproved resource: HRIS,1,Marketing,Architect,user,2025-09-20,1,True
USR00016,elena.dubois,admin_operation,BI_Tool,low,success,business_hours,2025-05-22 16:23:00,90,CRITICAL,High-risk action: admin_operation|Unapproved resource: BI_Tool|User privilege doing admin action|Account inactive 32 days,1,IT,Specialist,user,2024-12-06,32,True
USR00077,neha.taylor,admin_operation,Customer_Vault,high,success,weekend,2025-05-23 01:19:00,65,HIGH,Sensitive resource (high)|High-risk action: admin_operation|Unapproved resource: Customer_Vault,1,Finance,Architect,power-user,2023-08-29,11,True
USR00078,christopher.menon,export_data,Customer_Vault,high,success,night,2025-05-24 18:49:00,90,CRITICAL,Off-hours access (night)|Sensitive resource (high)|High-risk action: export_data|Unapproved resource: Customer_Vault,1,Executive,Officer,service-account,2023-01-02,22,True
USR00019,joshua.white,login,BI_Tool,low,success,business_hours,2025-05-25 02:59:00,22,LOW,Unapproved resource: BI_Tool,0,Finance,Coordinator,user,2024-06-20,2,True
USR00008,thomas.iyer,login,Customer_Vault,high,failure,night,2025-05-25 12:53:00,100,CRITICAL,Off-hours access (night)|Sensitive resource (high)|Unapproved resource: Customer_Vault|Access attempt FAILED|Account inactive 57 days,1,Sales,Administrator,user,2022-04-27,57,True
USR00041,matthew.huang,export_data,Data_Lake,medium,success,night,2025-05-26 14:46:00,75,HIGH,Off-hours access (night)|Sensitive resource (medium)|High-risk action: export_data|Unapproved resource: Data_Lake,1,Operations,Lead,power-user,2025-10-08,7,True
USR00019,joshua.white,login,Data_Lake,medium,success,night,2025-05-26 19:23:00,52,MEDIUM,Off-hours access (night)|Sensitive resource (medium)|Unapproved resource: Data_Lake,1,Finance,Coordinator,user,2024-06-20,2,True
USR00074,mark.he,file_access,Data_Lake,medium,success,unusual_hours,2025-05-26 22:24:00,55,MEDIUM,Off-hours access (unusual_hours)|Sensitive resource (medium)|Unapproved resource: Data_Lake,1,Security,Officer,user,2022-03-26,0,True
USR00086,ryan.colombo,export_data,PROD_DB,high,success,business_hours,2025-05-27 00:43:00,90,CRITICAL,Sensitive resource (high)|High-risk action: export_data|Unapproved resource: PROD_DB|Account inactive 49 days,1,Engineering,Analyst,service-account,2024-11-18,49,True
USR00015,sophia.white,sql_query,Data_Lake,medium,success,business_hours,2025-05-27 03:41:00,35,LOW,Sensitive resource (medium)|Unapproved resource: Data_Lake,0,Security,Developer,admin,2025-10-04,24,True
USR00088,william.jang,api_call,GL_System,high,success,unusual_hours,2025-05-27 06:47:00,93,CRITICAL,Off-hours access (unusual_hours)|Sensitive resource (high)|Unapproved resource: GL_System|Account inactive 36 days,1,Engineering,Engineer,admin,2024-10-14,36,True
USR00087,aditya.taylor,export_data,Admin_Console,medium,success,business_hours,2025-05-27 10:42:00,55,MEDIUM,Sensitive resource (medium)|High-risk action: export_data|Unapproved resource: Admin_Console,1,Marketing,Manager,power-user,2023-04-29,28,True
USR00005,george.lim,admin_operation,Customer_Vault,high,success,unusual_hours,2025-05-30 15:03:00,100,CRITICAL,Off-hours access (unusual_hours)|Sensitive resource (high)|High-risk action: admin_operation|Unapproved resource: Customer_Vault|User privilege doing admin action|Account inactive 57 days,1,Engineering,Administrator,user,2025-05-25,57,True
USR00037,ronald.wilson,file_access,Data_Lake,medium,success,business_hours,2025-05-30 16:37:00,35,LOW,Sensitive resource (medium)|Unapproved resource: Data_Lake,0,Finance,Coordinator,power-user,2024-03-06,25,True
USR00087,aditya.taylor,export_data,BI_Tool,low,success,business_hours,2025-05-30 20:55:00,45,MEDIUM,High-risk action: export_data|Unapproved resource: BI_Tool,1,Marketing,Manager,power-user,2023-04-29,28,True
USR00055,neha.johnson,sql_query,SIEM,medium,success,business_hours,2025-05-31 05:39:00,55,MEDIUM,Sensitive resource (medium)|Unapproved resource: SIEM|Account inactive 49 days,1,Sales,Analyst,user,2025-05-20,49,True
USR00068,robert.patel,export_data,BI_Tool,low,success,business_hours,2025-05-31 13:38:00,45,MEDIUM,High-risk action: export_data|Unapproved resource: BI_Tool,1,Support,Lead,admin,2024-10-25,7,True
USR00046,deepika.li,sql_query,SIEM,medium,success,business_hours,2025-05-31 21:57:00,55,MEDIUM,Sensitive resource (medium)|Unapproved resource: SIEM|Account inactive 48 days,1,Support,Manager,user,2024-07-14,48,True
USR00040,nicholas.romano,api_call,Email_Archive,medium,success,night,2025-06-01 11:31:00,78,HIGH,Off-hours access (night)|Sensitive resource (medium)|Unapproved resource: Email_Archive|Account inactive 52 days,1,Security,Officer,power-user,2023-12-02,52,True
USR00060,vikram.gonzalez,login,PROD_DB,high,success,night,2025-06-01 13:43:00,67,HIGH,Off-hours access (night)|Sensitive resource (high)|Unapproved resource: PROD_DB,1,Sales,Developer,power-user,2022-06-14,4,True
USR00052,leila.sun,admin_operation,HRIS,high,success,night,2025-06-01 14:32:00,100,CRITICAL,Off-hours access (night)|Sensitive resource (high)|High-risk action: admin_operation|Unapproved resource: HRIS|User privilege doing admin action|Account inactive 53 days,1,Engineering,Administrator,user,2024-04-05,53,True
USR00063,daniel.colombo,admin_operation,File_Share,low,success,business_hours,2025-06-01 23:01:00,60,MEDIUM,High-risk action: admin_operation|Unapproved resource: File_Share|Account inactive 52 days,1,Sales,Specialist,power-user,2025-03-04,52,True
USR00062,nisha.jones,api_call,File_Share,low,success,business_hours,2025-06-03 06:40:00,48,MEDIUM,Unapproved resource: File_Share|Account inactive 36 days,1,Marketing,Coordinator,power-user,2023-10-20,36,True
USR00057,zainab.jo,sql_query,Email_Archive,medium,success,business_hours,2025-06-03 08:17:00,35,LOW,Sensitive resource (medium)|Unapproved resource: Email_Archive,0,Sales,Architect,admin,2024-06-15,14,True
USR00043,matthew.bernard,login,File_Share,low,success,unusual_hours,2025-06-04 17:37:00,62,MEDIUM,Off-hours access (unusual_hours)|Unapproved resource: File_Share|Account inactive 33 days,1,Operations,Coordinator,power-user,2024-11-02,33,True
USR00078,christopher.menon,api_call,BI_Tool,low,success,business_hours,2025-06-05 17:20:00,28,LOW,Unapproved resource: BI_Tool,0,Executive,Officer,service-account,2023-01-02,22,True
USR00077,neha.taylor,login,PROD_DB,high,success,business_hours,2025-06-05 17:43:00,27,LOW,Sensitive resource (high),0,Finance,Architect,power-user,2023-08-29,11,True
USR00062,nisha.jones,admin_operation,SIEM,medium,success,business_hours,2025-06-05 20:54:00,70,HIGH,Sensitive resource (medium)|High-risk action: admin_operation|Unapproved resource: SIEM|Account inactive 36 days,1,Marketing,Coordinator,power-user,2023-10-20,36,True
USR00007,robert.smith,admin_operation,Data_Lake,medium,success,night,2025-06-06 23:05:00,100,CRITICAL,Off-hours access (night)|Sensitive resource (medium)|High-risk action: admin_operation|Unapproved resource: Data_Lake|User privilege doing admin action|Account inactive 44 days,1,Operations,Lead,user,2025-05-25,44,True
USR00054,edward.smith,sql_query,File_Share,low,success,business_hours,2025-06-09 01:02:00,25,LOW,Unapproved resource: File_Share,0,Support,Specialist,user,2023-07-28,12,True
USR00091,steven.thompson,admin_operation,HRIS,high,success,weekend,2025-06-09 15:50:00,65,HIGH,Sensitive resource (high)|High-risk action: admin_operation|Unapproved resource: HRIS,1,Support,Lead,power-user,2023-02-06,26,True
USR00096,edward.thomas,export_data,HRIS,high,success,business_hours,2025-06-09 23:49:00,70,HIGH,Sensitive resource (high)|High-risk action: export_data|Unapproved resource: HRIS,1,Operations,Officer,service-account,2023-04-08,24,True
USR00023,isha.jones,admin_operation,PROD_DB,high,success,business_hours,2025-06-10 03:22:00,85,CRITICAL,Sensitive resource (high)|High-risk action: admin_operation|Unapproved resource: PROD_DB|Account inactive 55 days,1,Legal,Director,power-user,2024-03-25,55,True
USR00015,sophia.white,api_call,Email_Archive,medium,failure,business_hours,2025-06-10 11:27:00,53,MEDIUM,Sensitive resource (medium)|Unapproved resource: Email_Archive|Access attempt FAILED,1,Security,Developer,admin,2025-10-04,24,True
USR00006,kevin.ramirez,api_call,Email_Archive,medium,success,business_hours,2025-06-10 11:37:00,58,MEDIUM,Sensitive resource (medium)|Unapproved resource: Email_Archive|Account inactive 46 days,1,Legal,Architect,power-user,2024-05-08,46,True
USR00020,karan.white,api_call,Data_Lake,medium,success,unusual_hours,2025-06-11 06:41:00,58,MEDIUM,Off-hours access (unusual_hours)|Sensitive resource (medium)|Unapproved resource: Data_Lake,1,IT,Specialist,user,2023-12-14,25,True
USR00023,isha.jones,login,HRIS,high,success,business_hours,2025-06-11 12:03:00,67,HIGH,Sensitive resource (high)|Unapproved resource: HRIS|Account inactive 55 days,1,Legal,Director,power-user,2024-03-25,55,True
USR00005,george.lim,export_data,Admin_Console,medium,success,business_hours,2025-06-14 17:48:00,75,HIGH,Sensitive resource (medium)|High-risk action: export_data|Unapproved resource: Admin_Console|Account inactive 57 days,1,Engineering,Administrator,user,2025-05-25,57,True
USR00000,pooja.murphy,admin_operation,Customer_Vault,high,success,business_hours,2025-06-14 19:02:00,100,CRITICAL,Sensitive resource (high)|High-risk action: admin_operation|Unapproved resource: Customer_Vault|User privilege doing admin action|Account inactive 59 days,1,Executive,Developer,user,2024-12-21,59,True
USR00063,daniel.colombo,login,Admin_Console,medium,success,unusual_hours,2025-06-15 04:48:00,72,HIGH,Off-hours access (unusual_hours)|Sensitive resource (medium)|Unapproved resource: Admin_Console|Account inactive 52 days,1,Sales,Specialist,power-user,2025-03-04,52,True
USR00022,harsh.patel,export_data,SIEM,medium,success,business_hours,2025-06-15 07:38:00,75,HIGH,Sensitive resource (medium)|High-risk action: export_data|Unapproved resource: SIEM|Account inactive 52 days,1,Legal,Specialist,user,2025-04-22,52,True
USR00037,ronald.wilson,export_data,Email_Archive,medium,success,business_hours,2025-06-15 15:08:00,55,MEDIUM,Sensitive resource (medium)|High-risk action: export_data|Unapproved resource: Email_Archive,1,Finance,Coordinator,power-user,2024-03-06,25,True
USR00065,timothy.xu,file_access,Data_Lake,medium,success,business_hours,2025-06-16 04:37:00,35,LOW,Sensitive resource (medium)|Unapproved resource: Data_Lake,0,Marketing,Architect,user,2023-02-03,6,True
USR00004,diya.anderson,admin_operation,GL_System,high,success,night,2025-06-16 19:57:00,100,CRITICAL,Off-hours access (night)|Sensitive resource (high)|High-risk action: admin_operation|Unapproved resource: GL_System|User privilege doing admin action,1,Marketing,Administrator,user,2022-10-18,14,True
USR00035,nikhil.rao,login,Admin_Console,medium,success,unusual_hours,2025-06-17 06:53:00,72,HIGH,Off-hours access (unusual_hours)|Sensitive resource (medium)|Unapproved resource: Admin_Console|Account inactive 56 days,1,Executive,Lead,admin,2025-07-05,56,True
USR00039,stephen.bhat,export_data,Customer_Vault,high,success,business_hours,2025-06-17 23:05:00,70,HIGH,Sensitive resource (high)|High-risk action: export_data|Unapproved resource: Customer_Vault,1,Engineering,Engineer,user,2023-09-11,25,True
USR00092,charles.sullivan,export_data,Admin_Console,medium,success,weekend,2025-06-18 12:50:00,55,MEDIUM,Sensitive resource (medium)|High-risk action: export_data|Unapproved resource: Admin_Console,1,IT,Executive,user,2025-12-05,28,True
USR00012,vikram.white,admin_operation,Email_Archive,medium,success,business_hours,2025-06-18 23:17:00,50,MEDIUM,Sensitive resource (medium)|High-risk action: admin_operation|Unapproved resource: Email_Archive,1,Operations,Director,service-account,2024-12-04,25,True
USR00039,stephen.bhat,login,HRIS,high,success,business_hours,2025-06-20 00:50:00,47,MEDIUM,Sensitive resource (high)|Unapproved resource: HRIS,1,Engineering,Engineer,user,2023-09-11,25,True
USR00011,maria.o'brien,file_access,Email_Archive,medium,success,unusual_hours,2025-06-21 16:48:00,55,MEDIUM,Off-hours access (unusual_hours)|Sensitive resource (medium)|Unapproved resource: Email_Archive,1,Security,Administrator,user,2025-09-10,16,True
USR00031,amitabh.taylor,export_data,GL_System,high,success,business_hours,2025-06-23 16:02:00,70,HIGH,Sensitive resource (high)|High-risk action: export_data|Unapproved resource: GL_System,1,Finance,Director,power-user,2024-01-24,30,True
USR00044,pooja.mishra,api_call,Admin_Console,medium,success,unusual_hours,2025-06-23 22:29:00,78,HIGH,Off-hours access (unusual_hours)|Sensitive resource (medium)|Unapproved resource: Admin_Console|Account inactive 59 days,1,Finance,Developer,admin,2023-11-18,59,True
USR00001,daniel.singh,sql_query,HRIS,high,success,business_hours,2025-06-24 16:58:00,50,MEDIUM,Sensitive resource (high)|Unapproved resource: HRIS,1,Compliance,Lead,user,2024-04-04,20,True
USR00044,pooja.mishra,export_data,HRIS,high,success,business_hours,2025-06-24 18:34:00,90,CRITICAL,Sensitive resource (high)|High-risk action: export_data|Unapproved resource: HRIS|Account inactive 59 days,1,Finance,Developer,admin,2023-11-18,59,True
USR00073,joshua.becker,login,Data_Lake,medium,success,business_hours,2025-06-25 12:08:00,32,LOW,Sensitive resource (medium)|Unapproved resource: Data_Lake,0,Security,Engineer,user,2025-02-03,20,True
USR00075,timothy.huang,sql_query,PROD_DB,high,success,business_hours,2025-06-25 22:43:00,50,MEDIUM,Sensitive resource (high)|Unapproved resource: PROD_DB,1,Sales,Manager,user,2023-12-15,21,True
USR00000,pooja.murphy,export_data,Data_Lake,medium,success,night,2025-06-26 04:18:00,95,CRITICAL,Off-hours access (night)|Sensitive resource (medium)|High-risk action: export_data|Unapproved resource: Data_Lake|Account inactive 59 days,1,Executive,Developer,user,2024-12-21,59,True
USR00062,nisha.jones,api_call,Email_Archive,medium,success,business_hours,2025-06-26 05:43:00,58,MEDIUM,Sensitive resource (medium)|Unapproved resource: Email_Archive|Account inactive 36 days,1,Marketing,Coordinator,power-user,2023-10-20,36,True
USR00067,donald.wang,admin_operation,SIEM,medium,success,business_hours,2025-06-26 07:43:00,100,CRITICAL,Sensitive resource (medium)|High-risk action: admin_operation|Unapproved resource: SIEM|User privilege doing admin action|Account inactive 54 days,1,Marketing,Manager,user,2023-07-01,54,True
USR00059,thomas.lewis,file_access,PROD_DB,high,success,business_hours,2025-06-26 12:46:00,70,HIGH,Sensitive resource (high)|Unapproved resource: PROD_DB|Account inactive 58 days,1,Finance,Director,power-user,2024-08-12,58,True
USR00084,aditya.gupta,sql_query,Data_Lake,medium,success,unusual_hours,2025-06-26 23:14:00,75,HIGH,Off-hours access (unusual_hours)|Sensitive resource (medium)|Unapproved resource: Data_Lake|Account inactive 59 days,1,Engineering,Analyst,admin,2023-06-17,59,True
USR00003,sanjana.li,api_call,GL_System,high,failure,business_hours,2025-06-27 13:46:00,68,HIGH,Sensitive resource (high)|Unapproved resource: GL_System|Access attempt FAILED,1,Marketing,Director,user,2023-04-21,13,True
USR00049,thomas.kang,login,BI_Tool,low,success,weekend,2025-06-28 16:06:00,22,LOW,Unapproved resource: BI_Tool,0,Engineering,Administrator,user,2022-08-24,24,True
USR00044,pooja.mishra,api_call,PROD_DB,high,success,weekend,2025-06-29 14:32:00,73,HIGH,Sensitive resource (high)|Unapproved resource: PROD_DB|Account inactive 59 days,1,Finance,Developer,admin,2023-11-18,59,True
USR00010,jacob.patel,login,Email_Archive,medium,success,business_hours,2025-06-29 14:36:00,32,LOW,Sensitive resource (medium)|Unapproved resource: Email_Archive,0,Marketing,Architect,user,2025-09-20,1,True
USR00019,joshua.white,admin_operation,Customer_Vault,high,success,unusual_hours,2025-06-30 03:01:00,100,CRITICAL,Off-hours access (unusual_hours)|Sensitive resource (high)|High-risk action: admin_operation|Unapproved resource: Customer_Vault|User privilege doing admin action,1,Finance,Coordinator,user,2024-06-20,2,True
USR00033,michael.sharma,sql_query,Customer_Vault,high,success,unusual_hours,2025-06-30 13:50:00,70,HIGH,Off-hours access (unusual_hours)|Sensitive resource (high)|Unapproved resource: Customer_Vault,1,Legal,Officer,power-user,2023-06-10,26,True
USR00082,arjun.hwang,file_access,Customer_Vault,high,success,business_hours,2025-07-02 11:07:00,70,HIGH,Sensitive resource (high)|Unapproved resource: Customer_Vault|Account inactive 52 days,1,Legal,Manager,admin,2024-09-21,52,True
